粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻,每米宽度流量
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.582,8.635,5.988,101.976,1.475,0.991,2.31,15,6.365,79.841,1.883,0.984,2.31,15,15,77.491,1,0.984,1.8,2,13,52.603,1.473,0.943,1.732,0,2,50,1.55,0.943,1.883,1.883,384.94,150.37,2088,122.8,1.597,1.597,118.4,1.5,-72,-4.2,3.007,3.007,503.34,151.87,2159,127,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.582,8.635,5.988,101.976,1.475,0.991,2.31,15,6.365,79.841,1.883,0.984,2.31,15,15,76.696,1,0.984,1.718,0,15,50,1.534,0.924,1.718,0,0,50,1.534,0.924,1.883,1.883,384.94,150.37,2041,120,1.597,1.597,109.73,0,0,0,3.007,3.007,494.67,150.37,2041,120,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,78.456,1,0.983,2.114,10,5,66.136,1.186,0.98,1.745,0,10,50,1.569,0.963,1.882,1.882,384.94,150.37,2297,135.1,1.598,1.598,153.53,9.92,-303,-17.9,3.007,3.007,538.47,160.29,2600,152.9,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,78.603,1,0.983,2.03,7.845,7.155,62.029,1.267,0.975,1.748,0,7.845,50,1.572,0.967,1.882,1.882,384.94,150.37,2237,131.6,1.598,1.598,144.13,7.24,-251,-14.8,3.007,3.007,529.07,157.62,2488,146.4,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,78.47,1,0.983,1.959,6,9,58.771,1.335,0.968,1.746,0,6,50,1.569,0.964,1.882,1.882,384.94,150.37,2188,128.7,1.598,1.598,135.98,5.2,-200,-11.8,3.007,3.007,520.92,155.57,2388,140.5,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,78.084,1,0.983,1.88,4,11,55.529,1.406,0.957,1.741,0,4,50,1.562,0.956,1.882,1.882,384.94,150.37,2137,125.7,1.598,1.598,127.13,3.23,-139,-8.1,3.007,3.007,512.07,153.6,2276,133.9,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,77.478,1,0.983,1.8,2,13,52.602,1.473,0.942,1.731,0,2,50,1.55,0.942,1.882,1.882,384.94,150.37,2089,122.9,1.598,1.598,118.34,1.5,-72,-4.2,3.007,3.007,503.28,151.87,2160,127.1,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,76.683,1,0.983,1.717,0,15,50,1.534,0.923,1.717,0,0,50,1.534,0.923,1.882,1.882,384.94,150.37,2042,120.1,1.598,1.598,109.68,0,0,0,3.007,3.007,494.62,150.37,2042,120.1,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.466,1,0.984,2.114,10,5,66.142,1.186,0.981,1.745,0,10,50,1.569,0.965,1.884,1.884,370.6,150.37,2296,135,1.597,1.597,153.59,9.92,-304,-17.9,3.007,3.007,524.19,160.29,2600,152.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.614,1,0.984,2.031,7.845,7.155,62.034,1.267,0.976,1.748,0,7.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2236,131.5,1.597,1.597,144.18,7.25,-251,-14.8,3.007,3.007,514.79,157.62,2487,146.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.48,1,0.984,1.959,6,9,58.774,1.335,0.969,1.747,0,6,50,1.57,0.966,1.884,1.884,370.6,150.37,2187,128.7,1.597,1.597,136.02,5.2,-200,-11.8,3.007,3.007,506.63,155.57,2387,140.4,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.094,1,0.984,1.881,4,11,55.531,1.406,0.958,1.741,0,4,50,1.562,0.957,1.884,1.884,370.6,150.37,2137,125.7,1.597,1.597,127.17,3.23,-139,-8.2,3.007,3.007,497.78,153.6,2275,133.8,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,77.488,1,0.984,1.8,2,13,52.603,1.473,0.943,1.731,0,2,50,1.55,0.943,1.884,1.884,370.6,150.37,2088,122.8,1.597,1.597,118.39,1.5,-72,-4.2,3.007,3.007,488.99,151.87,2160,127,17
